Periode,Lini_Bisnis,Premi_akumulasi,Klaim_akumulasi,Premi,Klaim,bI_rate,inflasi,kurs_dolar,A_Pertanian_Kehutanan_dan_Perikanan,B_Pertambangan_dan_Penggalian,C_Industri_Pengolahan,D_Pengadaan_Listrik_dan_Gas,E_Pengadaan_Air_Pengelolaan_Sampah_Limbah_dan_Daur_Ulang,F_Konstruksi,G_Perdagangan_Besar_dan_Eceran_Reparasi_Mobil_dan_Sepeda_Motor,G1_Perdagangan_Mobil_Sepeda_Motor_dan_Reparasinya,H_Transportasi_dan_Pergudangan,I_Penyediaan_Akomodasi_dan_Makan_Minum,J_Informasi_dan_Komunikasi,K_Jasa_Keuangan_dan_Asuransi,K2_Asuransi_dan_Dana_Pensiun,L_Real_Estate,M_N_Jasa_Perusahaan,O_Administrasi_Pemerintahan_Pertahanan_dan_Jaminan_Sosial_Wajib,P_Jasa_Pendidikan,Q_Jasa_Kesehatan_dan_Kegiatan_Sosial,R_S_T_U_Jasa_lainnya,C_PRODUK_DOMESTIK_BRUTO
2017-03-01,PROPERTY,4110.1563,1593.59088,4110.1563,1593.59088,4.75,3.61,13321,7.14,-1.3,4.28,1.6,4.38,5.96,4.61,3.32,8.06,5.36,10.48,6.01,5.4,3.63,6.83,0.22,4.1,7.1,7.97,5.01
2017-03-01,MOTOR VEHICLE,4103.61807,1971.8507,4103.61807,1971.8507,4.75,3.61,13321,7.14,-1.3,4.28,1.6,4.38,5.96,4.61,3.32,8.06,5.36,10.48,6.01,5.4,3.63,6.83,0.22,4.1,7.1,7.97,5.01
2017-03-01,MARINE CARGO,1034.4694,219.08604,1034.4694,219.08604,4.75,3.61,13321,7.14,-1.3,4.28,1.6,4.38,5.96,4.61,3.32,8.06,5.36,10.48,6.01,5.4,3.63,6.83,0.22,4.1,7.1,7.97,5.01
2017-03-01,MARINE HULL,474.51724,224.55093,474.51724,224.55093,4.75,3.61,13321,7.14,-1.3,4.28,1.6,4.38,5.96,4.61,3.32,8.06,5.36,10.48,6.01,5.4,3.63,6.83,0.22,4.1,7.1,7.97,5.01
2017-03-01,AVIATION & SATELITE,251.63758,195.78303,251.63758,195.78303,4.75,3.61,13321,7.14,-1.3,4.28,1.6,4.38,5.96,4.61,3.32,8.06,5.36,10.48,6.01,5.4,3.63,6.83,0.22,4.1,7.1,7.97,5.01
2017-03-01,ENERGY,110.25198,410.99584,110.25198,410.99584,4.75,3.61,13321,7.14,-1.3,4.28,1.6,4.38,5.96,4.61,3.32,8.06,5.36,10.48,6.01,5.4,3.63,6.83,0.22,4.1,7.1,7.97,5.01
2017-03-01,ENGINEERING,480.39213,245.49586,480.39213,245.49586,4.75,3.61,13321,7.14,-1.3,4.28,1.6,4.38,5.96,4.61,3.32,8.06,5.36,10.48,6.01,5.4,3.63,6.83,0.22,4.1,7.1,7.97,5.01
2017-03-01,LIABILITY,512.22484,40.86163,512.22484,40.86163,4.75,3.61,13321,7.14,-1.3,4.28,1.6,4.38,5.96,4.61,3.32,8.06,5.36,10.48,6.01,5.4,3.63,6.83,0.22,4.1,7.1,7.97,5.01
2017-03-01,PERSONAL ACCIDENT & HEALTH,1892.47063,1055.60157,1892.47063,1055.60157,4.75,3.61,13321,7.14,-1.3,4.28,1.6,4.38,5.96,4.61,3.32,8.06,5.36,10.48,6.01,5.4,3.63,6.83,0.22,4.1,7.1,7.97,5.01
2017-03-01,CREDIT INSURANCE,1089.38962,632.04639,1089.38962,632.04639,4.75,3.61,13321,7.14,-1.3,4.28,1.6,4.38,5.96,4.61,3.32,8.06,5.36,10.48,6.01,5.4,3.63,6.83,0.22,4.1,7.1,7.97,5.01
2017-03-01,SURETY SHIP,363.26813,120.56837,363.26813,120.56837,4.75,3.61,13321,7.14,-1.3,4.28,1.6,4.38,5.96,4.61,3.32,8.06,5.36,10.48,6.01,5.4,3.63,6.83,0.22,4.1,7.1,7.97,5.01
2017-03-01,MISCELLANEOUS,675.58138,115.56737,675.58138,115.56737,4.75,3.61,13321,7.14,-1.3,4.28,1.6,4.38,5.96,4.61,3.32,8.06,5.36,10.48,6.01,5.4,3.63,6.83,0.22,4.1,7.1,7.97,5.01
2017-06-01,PROPERTY,8254.33,2941.04,4144.1737,1347.44912,4.75,4.37,13319,3.35,2.11,3.5,-2.53,3.66,6.95,3.46,3.46,8.8,5.62,11.06,5.93,4.71,3.69,8.24,-0.03,0.96,6.38,8.59,5.01
2017-06-01,MOTOR VEHICLE,8453,3531.38,4349.38193,1559.5293,4.75,4.37,13319,3.35,2.11,3.5,-2.53,3.66,6.95,3.46,3.46,8.8,5.62,11.06,5.93,4.71,3.69,8.24,-0.03,0.96,6.38,8.59,5.01
2017-06-01,MARINE CARGO,1666.72,512.76,632.2506,293.67396,4.75,4.37,13319,3.35,2.11,3.5,-2.53,3.66,6.95,3.46,3.46,8.8,5.62,11.06,5.93,4.71,3.69,8.24,-0.03,0.96,6.38,8.59,5.01
